epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,646.153,1.43643,1.1296,1.3367,0.79906,0.76119,0.85771,0.44833,1.62311,1.02477,1.4508,0.0011684,0.0011684,0.0011684
44,663.631,1.40491,1.08696,1.3216,0.70998,0.80387,0.78243,0.41471,1.70313,0.98653,1.51299,0.0011486,0.0011486,0.0011486
45,681.197,1.43141,1.14232,1.34313,0.82038,0.79104,0.82574,0.43957,1.67256,0.99395,1.47953,0.0011288,0.0011288,0.0011288
46,695.892,1.42896,1.09168,1.31826,0.83281,0.80597,0.86639,0.45899,1.65992,0.9668,1.5047,0.001109,0.001109,0.001109
47,710.914,1.37478,1.07619,1.29782,0.86086,0.73879,0.8188,0.41327,1.7468,0.99028,1.5452,0.0010892,0.0010892,0.0010892
48,725.455,1.39017,1.05354,1.34148,0.87409,0.68657,0.79761,0.43823,1.6824,0.97315,1.49803,0.0010694,0.0010694,0.0010694
49,740.275,1.36119,1.02855,1.30057,0.89578,0.71642,0.85242,0.45866,1.6403,0.93602,1.49879,0.0010496,0.0010496,0.0010496
50,755.032,1.38603,1.03089,1.32593,0.79245,0.79789,0.8381,0.44467,1.64629,0.95595,1.46322,0.0010298,0.0010298,0.0010298
51,769.733,1.33757,1.02197,1.28342,0.82257,0.85075,0.84649,0.45726,1.63381,0.95347,1.47371,0.00101,0.00101,0.00101
52,784.424,1.35609,1.03252,1.26326,0.85154,0.68492,0.79656,0.44241,1.65959,1.01657,1.41869,0.0009902,0.0009902,0.0009902
53,799.741,1.31372,1.06275,1.27537,0.84491,0.7318,0.81714,0.43585,1.66337,0.96854,1.51977,0.0009704,0.0009704,0.0009704
54,814.505,1.34764,1.04946,1.28579,0.81152,0.71642,0.79276,0.44183,1.68356,1.07185,1.52745,0.0009506,0.0009506,0.0009506
55,829.175,1.36904,1.06757,1.30906,0.84587,0.77612,0.83884,0.46433,1.60176,0.9516,1.45043,0.0009308,0.0009308,0.0009308
56,844.734,1.33349,1.01121,1.28629,0.76107,0.77612,0.81717,0.4144,1.75246,1.03722,1.53299,0.000911,0.000911,0.000911
57,861.363,1.39259,1.08555,1.32722,0.79203,0.76119,0.81786,0.44364,1.66573,0.92063,1.49932,0.0008912,0.0008912,0.0008912
58,878.848,1.33041,1.00734,1.2879,0.81326,0.78004,0.84054,0.43395,1.67309,0.94248,1.49878,0.0008714,0.0008714,0.0008714
59,895.266,1.29822,0.96742,1.25827,0.85146,0.77006,0.80874,0.42346,1.66342,1.02235,1.50526,0.0008516,0.0008516,0.0008516
60,910.235,1.28632,0.97555,1.27445,0.84972,0.77612,0.81305,0.43541,1.69375,0.92423,1.50089,0.0008318,0.0008318,0.0008318
61,925.728,1.27431,0.94206,1.23402,0.84947,0.76119,0.81635,0.4428,1.70198,0.92639,1.51981,0.000812,0.000812,0.000812
62,940.866,1.26246,0.95329,1.24651,0.85299,0.74627,0.82961,0.43592,1.69863,0.89883,1.51853,0.0007922,0.0007922,0.0007922
63,956.516,1.27429,0.96182,1.24635,0.89303,0.79104,0.8127,0.43886,1.68267,0.87821,1.47607,0.0007724,0.0007724,0.0007724
64,971.982,1.23516,0.9228,1.23651,0.83697,0.76119,0.80952,0.41889,1.70479,0.8785,1.51602,0.0007526,0.0007526,0.0007526
65,987.816,1.24721,0.89812,1.245,0.81871,0.70149,0.78785,0.42606,1.70658,0.92649,1.55266,0.0007328,0.0007328,0.0007328
66,1002.46,1.22328,0.90126,1.21469,0.80597,0.74402,0.79847,0.4251,1.72318,0.93361,1.56294,0.000713,0.000713,0.000713
67,1017.19,1.19503,0.87005,1.23245,0.79272,0.7421,0.78935,0.41767,1.78102,0.95699,1.58577,0.0006932,0.0006932,0.0006932
68,1031.94,1.1915,0.89354,1.22622,0.81413,0.78454,0.81714,0.42425,1.7017,0.92328,1.57362,0.0006734,0.0006734,0.0006734
69,1046.78,1.2057,0.87647,1.2221,0.79967,0.77453,0.81722,0.42651,1.73521,0.8797,1.59832,0.0006536,0.0006536,0.0006536
70,1061.77,1.20038,0.88108,1.21285,0.78071,0.74394,0.8021,0.43586,1.71597,0.89437,1.54446,0.0006338,0.0006338,0.0006338
71,1076.83,1.22805,0.8806,1.24771,0.76161,0.76295,0.82623,0.45645,1.69002,0.89886,1.54633,0.000614,0.000614,0.000614
72,1091.82,1.18576,0.83812,1.2073,0.77871,0.78785,0.82698,0.45923,1.66914,0.86778,1.4937,0.0005942,0.0005942,0.0005942
73,1106.61,1.15423,0.83836,1.19788,0.82162,0.77612,0.82221,0.44549,1.68347,0.91106,1.5111,0.0005744,0.0005744,0.0005744
74,1121.25,1.14002,0.83956,1.1827,0.77139,0.74627,0.80633,0.44908,1.67528,0.99065,1.55128,0.0005546,0.0005546,0.0005546
