epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1376.52,1.58651,1.36763,1.53391,0.82426,0.70005,0.75661,0.40008,1.56887,1.10967,1.55952,0.0011684,0.0011684,0.0011684
44,1407.48,1.52073,1.30314,1.49142,0.71405,0.77612,0.78544,0.41792,1.65926,1.07633,1.6244,0.0011486,0.0011486,0.0011486
45,1439.53,1.52812,1.353,1.50639,0.76729,0.74627,0.79285,0.40929,1.63406,1.0883,1.59335,0.0011288,0.0011288,0.0011288
46,1470.64,1.50435,1.30009,1.47432,0.83849,0.76119,0.82096,0.43185,1.63612,1.01517,1.58417,0.001109,0.001109,0.001109
47,1502.95,1.46568,1.26874,1.46433,0.83084,0.64179,0.74939,0.37766,1.63222,1.13876,1.62785,0.0010892,0.0010892,0.0010892
48,1534.02,1.47674,1.29359,1.49562,0.8131,0.7792,0.79447,0.40001,1.64654,1.11619,1.6657,0.0010694,0.0010694,0.0010694
49,1565.24,1.48715,1.25048,1.4794,0.81857,0.71642,0.75832,0.39568,1.63694,1.06878,1.60993,0.0010496,0.0010496,0.0010496
50,1596.91,1.53537,1.26457,1.5254,0.81768,0.73638,0.76856,0.39818,1.65544,1.2114,1.64571,0.0010298,0.0010298,0.0010298
51,1628.26,1.46975,1.25601,1.4676,0.82152,0.76119,0.77254,0.40932,1.64761,1.06532,1.63984,0.00101,0.00101,0.00101
52,1659.58,1.46143,1.2261,1.4334,0.87426,0.73134,0.78349,0.42755,1.60666,1.13617,1.57441,0.0009902,0.0009902,0.0009902
53,1690.58,1.45661,1.24932,1.43907,0.89572,0.64104,0.7587,0.40122,1.57157,1.20302,1.54459,0.0009704,0.0009704,0.0009704
54,1722.08,1.46256,1.25704,1.45011,0.80853,0.69334,0.77048,0.41902,1.60633,1.09235,1.58837,0.0009506,0.0009506,0.0009506
55,1753.56,1.4791,1.26121,1.45552,0.88619,0.69736,0.7932,0.44129,1.62443,1.08391,1.57718,0.0009308,0.0009308,0.0009308
56,1785.83,1.4255,1.18138,1.41031,0.79625,0.71642,0.73802,0.3974,1.69271,1.14431,1.61054,0.000911,0.000911,0.000911
57,1817.08,1.49138,1.27771,1.47218,0.80354,0.73258,0.77576,0.4095,1.68497,1.06605,1.61922,0.0008912,0.0008912,0.0008912
58,1848.75,1.43298,1.1894,1.44053,0.81907,0.77612,0.82582,0.42959,1.6523,1.0629,1.64824,0.0008714,0.0008714,0.0008714
59,1879.75,1.40107,1.12836,1.4109,0.8504,0.71642,0.77562,0.41092,1.6295,1.05747,1.62984,0.0008516,0.0008516,0.0008516
60,1911.29,1.40722,1.18252,1.41278,0.88587,0.69514,0.77061,0.37457,1.63758,1.13961,1.6186,0.0008318,0.0008318,0.0008318
61,1942.5,1.38753,1.15005,1.38412,0.83423,0.71642,0.77716,0.41972,1.59366,1.03614,1.55286,0.000812,0.000812,0.000812
62,1973.8,1.37432,1.11067,1.403,0.8128,0.65672,0.75404,0.40633,1.6319,1.07483,1.61662,0.0007922,0.0007922,0.0007922
63,2005.05,1.36672,1.12654,1.38657,0.84051,0.68657,0.77262,0.40821,1.61366,1.06392,1.577,0.0007724,0.0007724,0.0007724
64,2036.54,1.35611,1.09581,1.37604,0.81052,0.74627,0.79394,0.41727,1.6499,1.01567,1.63659,0.0007526,0.0007526,0.0007526
65,2068.27,1.36333,1.10693,1.40386,0.84722,0.71642,0.77967,0.39219,1.64436,1.08167,1.65223,0.0007328,0.0007328,0.0007328
66,2099.24,1.37823,1.12206,1.38693,0.7825,0.74627,0.77893,0.40682,1.57683,1.02097,1.58188,0.000713,0.000713,0.000713
