epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,557.891,1.38838,1.06502,1.24977,0.82801,0.79042,0.85391,0.45534,1.61198,1.01171,1.34021,0.0011882,0.0011882,0.0011882
43,570.959,1.37537,1.06635,1.24772,0.84299,0.72124,0.7967,0.4303,1.64401,1.0191,1.38796,0.0011684,0.0011684,0.0011684
44,583.93,1.34237,1.05353,1.21892,0.79461,0.7507,0.82032,0.44497,1.66339,1.01035,1.46667,0.0011486,0.0011486,0.0011486
45,598.227,1.3793,1.07415,1.23183,0.81138,0.85075,0.83271,0.42081,1.69304,0.99629,1.43502,0.0011288,0.0011288,0.0011288
46,610.813,1.37365,1.06164,1.22226,0.84609,0.82053,0.84914,0.43227,1.68699,0.98434,1.40735,0.001109,0.001109,0.001109
47,623.535,1.32781,1.036,1.20669,0.79484,0.83582,0.83452,0.43126,1.70611,1.01752,1.4268,0.0010892,0.0010892,0.0010892
48,635.933,1.35094,1.04443,1.23177,0.84063,0.78734,0.81135,0.42726,1.69584,1.00594,1.48586,0.0010694,0.0010694,0.0010694
49,648.89,1.30656,0.99935,1.19874,0.8433,0.73134,0.79629,0.42422,1.6561,1.05786,1.43654,0.0010496,0.0010496,0.0010496
50,662.098,1.31401,0.9892,1.20988,0.86284,0.79104,0.8253,0.44056,1.6658,0.93238,1.43408,0.0010298,0.0010298,0.0010298
51,675.598,1.33154,0.97784,1.213,0.89781,0.78682,0.85739,0.43798,1.69379,0.9673,1.38863,0.00101,0.00101,0.00101
52,688.752,1.326,0.99408,1.1902,0.83393,0.76119,0.79254,0.42698,1.70269,1.02966,1.4208,0.0009902,0.0009902,0.0009902
53,702.155,1.29435,0.98944,1.20619,0.81528,0.79104,0.8322,0.44938,1.61689,0.96345,1.37413,0.0009704,0.0009704,0.0009704
54,715.437,1.31793,1.0017,1.21198,0.84235,0.8209,0.83782,0.4446,1.67551,1.01183,1.46352,0.0009506,0.0009506,0.0009506
55,728.654,1.33292,1.03683,1.22921,0.81721,0.79104,0.81991,0.42621,1.69322,0.96948,1.46213,0.0009308,0.0009308,0.0009308
56,742.062,1.28985,0.96632,1.19858,0.8465,0.77612,0.83457,0.4557,1.63095,0.89789,1.42367,0.000911,0.000911,0.000911
57,755.068,1.37219,1.03907,1.24427,0.83607,0.80597,0.85016,0.43144,1.75138,0.93356,1.45332,0.0008912,0.0008912,0.0008912
58,768.33,1.31018,0.97451,1.20327,0.80078,0.83993,0.85067,0.43194,1.61792,0.95033,1.37917,0.0008714,0.0008714,0.0008714
59,781.895,1.24955,0.94192,1.17023,0.77768,0.8209,0.82967,0.42647,1.66269,1.03012,1.40934,0.0008516,0.0008516,0.0008516
60,794.37,1.27052,0.95341,1.1972,0.87925,0.77612,0.81745,0.46039,1.60193,0.93681,1.36772,0.0008318,0.0008318,0.0008318
61,807.064,1.24412,0.92676,1.15486,0.79067,0.80597,0.81848,0.4303,1.69802,1.00299,1.42361,0.000812,0.000812,0.000812
62,819.454,1.24119,0.89863,1.17316,0.81143,0.77612,0.81169,0.43737,1.67665,0.93163,1.44526,0.0007922,0.0007922,0.0007922
63,832.536,1.26869,0.95659,1.18148,0.85973,0.76119,0.84225,0.43723,1.65579,0.94808,1.43373,0.0007724,0.0007724,0.0007724
64,845.887,1.22329,0.91103,1.16255,0.85573,0.77612,0.83612,0.43012,1.67084,0.96128,1.42662,0.0007526,0.0007526,0.0007526
65,859.13,1.20468,0.87262,1.15702,0.85572,0.79104,0.85266,0.45005,1.67259,0.9205,1.45669,0.0007328,0.0007328,0.0007328
66,872.462,1.21472,0.89246,1.15325,0.83434,0.75178,0.83067,0.4197,1.70231,0.9789,1.438,0.000713,0.000713,0.000713
67,885.654,1.16324,0.82331,1.13936,0.78803,0.76119,0.77842,0.42086,1.57252,0.97973,1.3757,0.0006932,0.0006932,0.0006932
68,898.748,1.20169,0.90863,1.16803,0.81187,0.79104,0.84647,0.44449,1.60396,0.97167,1.42934,0.0006734,0.0006734,0.0006734
69,911.916,1.17487,0.86125,1.14922,0.79477,0.79104,0.81734,0.43617,1.71644,0.9996,1.49502,0.0006536,0.0006536,0.0006536
70,925.144,1.20112,0.90029,1.1469,0.79312,0.80113,0.83423,0.43775,1.61802,0.93083,1.42012,0.0006338,0.0006338,0.0006338
71,938.593,1.20794,0.85774,1.16014,0.78717,0.80597,0.82352,0.44809,1.64808,0.94509,1.41698,0.000614,0.000614,0.000614
72,951.792,1.15508,0.84112,1.12375,0.8032,0.7919,0.81521,0.44155,1.65013,0.88566,1.44158,0.0005942,0.0005942,0.0005942
73,964.487,1.15774,0.837,1.11559,0.85316,0.80597,0.83612,0.45654,1.65176,0.86298,1.4736,0.0005744,0.0005744,0.0005744
74,977.324,1.14938,0.8352,1.11686,0.82591,0.80597,0.84595,0.43825,1.65316,0.92494,1.47987,0.0005546,0.0005546,0.0005546
75,989.862,1.1899,0.85606,1.15468,0.86882,0.76119,0.82526,0.41901,1.71549,0.92536,1.52923,0.0005348,0.0005348,0.0005348
76,1003.11,1.20133,0.90601,1.1406,0.89456,0.80597,0.84929,0.42848,1.72805,0.91891,1.48252,0.000515,0.000515,0.000515
77,1016.59,1.15548,0.8474,1.12317,0.88685,0.79104,0.85109,0.43949,1.6576,0.88613,1.45388,0.0004952,0.0004952,0.0004952
78,1029.72,1.14732,0.8459,1.11929,0.84521,0.81501,0.84157,0.43388,1.75854,0.88001,1.51152,0.0004754,0.0004754,0.0004754
