epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,431.27,0.45643,0.36846,0.88256,0.96406,0.9578,0.97293,0.8997,0.62317,0.44046,0.97191,0.000990365,0.000990365,0.000990365
43,441.582,0.44589,0.36406,0.87848,0.95643,0.95898,0.97304,0.90586,0.60288,0.43358,0.96317,0.000973861,0.000973861,0.000973861
44,452.128,0.43363,0.38245,0.88097,0.95943,0.95705,0.97063,0.90424,0.61664,0.43878,0.96171,0.000957358,0.000957358,0.000957358
45,461.217,0.45616,0.36287,0.88329,0.96726,0.94582,0.96973,0.90063,0.62016,0.45925,0.97848,0.000940855,0.000940855,0.000940855
46,471.379,0.44933,0.36426,0.88256,0.96861,0.94548,0.96993,0.90325,0.60563,0.42901,0.96479,0.000924352,0.000924352,0.000924352
47,481.827,0.42473,0.35024,0.87667,0.97285,0.93965,0.97015,0.90396,0.59672,0.42844,0.95686,0.000907848,0.000907848,0.000907848
48,491.778,0.45178,0.36963,0.88338,0.96976,0.95174,0.9738,0.90538,0.59416,0.42994,0.96997,0.000891345,0.000891345,0.000891345
49,501.138,0.42301,0.34605,0.87456,0.96509,0.95785,0.9727,0.90904,0.59258,0.42453,0.96503,0.000874842,0.000874842,0.000874842
50,511.586,0.41724,0.34128,0.87174,0.96762,0.95691,0.97174,0.90806,0.59026,0.41291,0.95786,0.000858338,0.000858338,0.000858338
51,521.976,0.48247,0.37696,0.90318,0.96556,0.95951,0.9714,0.90603,0.60011,0.42957,0.97232,0.000841835,0.000841835,0.000841835
52,530.779,0.4099,0.33811,0.86975,0.9641,0.94684,0.96931,0.90395,0.59854,0.44169,0.95343,0.000825332,0.000825332,0.000825332
53,541.196,0.43651,0.34308,0.88645,0.95614,0.95941,0.97156,0.90476,0.60412,0.42303,0.95674,0.000808828,0.000808828,0.000808828
54,551.488,0.41821,0.332,0.87207,0.96735,0.95318,0.97267,0.91164,0.56598,0.41595,0.95308,0.000792325,0.000792325,0.000792325
55,560.425,0.41816,0.33628,0.87215,0.96712,0.94808,0.97158,0.91117,0.58757,0.41063,0.95675,0.000775822,0.000775822,0.000775822
56,570.661,0.39863,0.31979,0.85662,0.969,0.95062,0.97287,0.91108,0.59006,0.41482,0.9652,0.000759318,0.000759318,0.000759318
57,581.123,0.41269,0.32508,0.86592,0.96711,0.95643,0.97388,0.91212,0.57397,0.39503,0.95433,0.000742815,0.000742815,0.000742815
58,590.505,0.42168,0.3387,0.87185,0.96979,0.95607,0.9735,0.91211,0.57903,0.40271,0.95932,0.000726312,0.000726312,0.000726312
59,600.021,0.40369,0.31913,0.87097,0.96353,0.95337,0.972,0.91133,0.58387,0.39967,0.96035,0.000709809,0.000709809,0.000709809
60,610.415,0.43909,0.45523,0.88988,0.97845,0.95383,0.9741,0.91275,0.57637,0.39143,0.9573,0.000693305,0.000693305,0.000693305
61,620.327,0.38667,0.31953,0.86081,0.96356,0.95018,0.97008,0.90301,0.60846,0.42454,0.98126,0.000676802,0.000676802,0.000676802
62,629.332,0.40618,0.32143,0.87059,0.97151,0.95276,0.97272,0.91168,0.56092,0.40031,0.95369,0.000660299,0.000660299,0.000660299
