epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,641.194,1.20172,0.79951,1.19482,0.94372,0.64706,0.71874,0.42094,1.50102,1.05727,1.48612,0.0011684,0.0011684,0.0011684
44,655.742,1.22708,0.77736,1.19736,0.81885,0.67647,0.74405,0.474,1.46069,0.98583,1.46355,0.0011486,0.0011486,0.0011486
45,670.287,1.20267,0.79909,1.17195,0.7501,0.67647,0.71266,0.39497,1.60082,1.07461,1.4799,0.0011288,0.0011288,0.0011288
46,684.722,1.22852,0.77726,1.17535,0.85641,0.64706,0.73558,0.43573,1.52321,1.25176,1.48372,0.001109,0.001109,0.001109
47,699.32,1.21359,0.77919,1.17237,0.91512,0.70588,0.73747,0.40266,1.57068,1.18015,1.48986,0.0010892,0.0010892,0.0010892
48,713.506,1.20921,0.7745,1.19406,0.82611,0.70588,0.74098,0.44026,1.5538,1.10736,1.42185,0.0010694,0.0010694,0.0010694
49,727.864,1.16164,0.81598,1.13814,0.89136,0.70588,0.75999,0.44419,1.55265,1.11825,1.44155,0.0010496,0.0010496,0.0010496
50,742.487,1.13626,0.72798,1.12881,0.95381,0.60759,0.74708,0.44409,1.63628,1.22954,1.48658,0.0010298,0.0010298,0.0010298
51,757.115,1.15442,0.72142,1.14599,0.80727,0.73529,0.76508,0.44087,1.54909,1.00736,1.44832,0.00101,0.00101,0.00101
52,771.692,1.14534,0.73563,1.15455,0.86691,0.61765,0.67684,0.41148,1.56834,1.30097,1.46809,0.0009902,0.0009902,0.0009902
53,786.255,1.15465,0.73974,1.14967,0.82433,0.70588,0.75764,0.41701,1.61827,1.13475,1.48788,0.0009704,0.0009704,0.0009704
54,800.875,1.10388,0.72938,1.1265,0.9575,0.66287,0.79469,0.44645,1.58708,0.99816,1.45416,0.0009506,0.0009506,0.0009506
55,815.514,1.0851,0.72296,1.11618,0.88283,0.61765,0.7206,0.41501,1.6093,1.15041,1.46098,0.0009308,0.0009308,0.0009308
56,829.976,1.10552,0.70801,1.12975,0.84643,0.6485,0.73098,0.43511,1.55568,1.05495,1.42146,0.000911,0.000911,0.000911
57,844.596,1.10599,0.69553,1.12208,0.88477,0.64706,0.7618,0.44602,1.65562,1.09172,1.51084,0.0008912,0.0008912,0.0008912
58,859.231,1.06869,0.68154,1.09942,0.86757,0.61765,0.75881,0.44699,1.43117,0.92643,1.34761,0.0008714,0.0008714,0.0008714
59,873.843,1.06515,0.65471,1.10924,0.94266,0.64706,0.76649,0.44015,1.53091,1.27517,1.4007,0.0008516,0.0008516,0.0008516
60,888.351,1.03279,0.69077,1.0638,0.91536,0.63643,0.74996,0.43707,1.48576,1.17211,1.39762,0.0008318,0.0008318,0.0008318
61,902.925,1.07319,0.67339,1.12179,0.81198,0.70588,0.78775,0.4502,1.5582,1.06913,1.43651,0.000812,0.000812,0.000812
62,917.452,1.03936,0.65286,1.10187,0.77018,0.69021,0.7203,0.435,1.56802,1.12731,1.45677,0.0007922,0.0007922,0.0007922
63,932.148,1.01902,0.62983,1.07738,0.7877,0.76471,0.78476,0.46245,1.51621,1.01199,1.38337,0.0007724,0.0007724,0.0007724
64,946.586,1.03397,0.66212,1.11419,0.93584,0.67647,0.77442,0.45842,1.49226,0.99472,1.41154,0.0007526,0.0007526,0.0007526
65,961.058,0.96683,0.62616,1.09065,0.80825,0.67647,0.78187,0.44542,1.5773,0.88989,1.40658,0.0007328,0.0007328,0.0007328
66,975.473,1.00056,0.63588,1.08095,0.80598,0.67647,0.75002,0.45561,1.50818,0.97236,1.35838,0.000713,0.000713,0.000713
67,990.018,0.99502,0.61758,1.08817,0.81321,0.70588,0.76085,0.47528,1.51817,0.93155,1.3914,0.0006932,0.0006932,0.0006932
68,1004.41,0.95016,0.58595,1.05721,0.81239,0.64706,0.75309,0.45196,1.51712,0.97362,1.422,0.0006734,0.0006734,0.0006734
